"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Prevotella_copri","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",3.40520658220348e-09,"ET_P",1,1,0.000350523424949557,"0.000127131974589045","0.16489281936875",5.61859086063574e-07
"Bacteroides_clarus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",7.57136332864337e-06,"ET_B",1,1,0.00035890126386304,"0.000629050319744288","0.000173390995949058",0.000312318737306539
"Roseburia_hominis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.628220946938053,"ET_B",1,1,0.000359070962323091,"0.000389011799684098","0.000190922200011095",0.878444544447277
"unclassified_Alistipes_sp._HGB5","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.814199204072008,"ET_P",1,1,0.000575149684769839,"0.000557479899930614","0.000693726756077938",0.94194783432012
"Ruminococcus_bromii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.792799768093627,"ET_P",1,1,0.000600140331982437,"0.000550003563338255","0.00078109790524053",0.94194783432012
"unclassified_Ruminococcus_sp._5_1_39BFAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.114268549968985,"ET_B",1,1,0.000732767808401583,"0.00108980266769986","0.000627891971085609",0.37708621489765
"Parasutterella_excrementihominis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.272330189493004,"ET_B",1,1,0.000828091938299593,"0.000912005921378708","0.000651102424338437",0.651224366178923
"Bacteroides_coprophilus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.857390396689518,"ET_B",1,1,0.000905045983185736,"0.000976298678386894","0.000905045983185736",0.94194783432012
"Bacteroides_plebeius","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.324367865452315,"ET_P",1,1,0.00119866066266252,"0.00110575879522224","0.00195413951507101",0.695073997397818
"Roseburia_inulinivorans","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.533278938866074,"ET_B",1,1,0.00121108645725142,"0.00155971600862844","0.00115455063617677",0.838009761075259
"Bacteroides_eggerthii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.000139437988224473,"ET_B",1,1,0.0012946906390079,"0.00204929681114436","0.000638057347786696",0.00164337628978843
"Eubacterium_eligens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.29760998288886,"ET_P",1,1,0.00132189836693047,"0.000693110620540548","0.00160282921103906",0.674771995508388
"Roseburia_intestinalis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.310804070658409,"ET_B",1,1,0.001489413658278,"0.00154975359229897","0.00131815024574166",0.674771995508388
"Bacteroides_intestinalis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0264921211726236,"ET_B",1,1,0.0016288272726495,"0.00191079834503422","0.000813574689378732",0.156114285481532
"Bilophila_wadsworthia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0579219914345479,"ET_B",1,1,0.00174210592186429,"0.00250690328170514","0.0010360786940928",0.23892821466751
"Escherichia_coli","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.533278938866074,"ET_B",1,1,0.00179952450114028,"0.00202030614119041","0.0017164503877949",0.838009761075259
"Alistipes_shahii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.944905346142325,"ET_B",1,1,0.00181452126630638,"0.00202179507491647","0.00130814462093822",0.978790977640409
"Bacteroides_finegoldii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.00258482659606363,"ET_B",1,1,0.00203931276765482,"0.0027662898073117","0.00106653375071285",0.0224471783342368
"Bacteroides_coprocola","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.367268636286432,"ET_B",1,1,0.00208992000589321,"0.00225839303970439","0.00127993821996401",0.730112349244112
"Bacteroides_fragilis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1.84620085267326e-05,"ET_B",1,1,0.0026884863599803,"0.00439354564745864","0.00131181008959227",0.000609246281382176
"Eubacterium_rectale","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.3822997261971,"ET_B",1,1,0.00272499214477963,"0.00324450353813686","0.00117698603214316",0.742111233206135
"Odoribacter_splanchnicus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.835734554898376,"ET_P",1,1,0.00286527723304898,"0.00276073397978258","0.00356784902159038",0.94194783432012
